state;mes;total_casos;total_mortes;letalidade;
PA;01/02/2021;9737337;225444;0;22
PB;01/02/2021;5760890;119357;0;23
PE;01/02/2021;7875747;299068;0;21
PI;01/02/2021;4652287;89346;0;18
PR;01/02/2021;16655715;302941;0;23
RJ;01/02/2021;15570980;881983;0;23
RN;01/02/2021;4281104;95781;0;21
RO;01/02/2021;3845928;71181;0;38
RR;01/02/2021;2177226;27348;0;19
RS;01/02/2021;16472878;320661;0;18
SC;01/02/2021;17340510;189955;0;57
SE;01/02/2021;4055485;80487;0;22
SP;01/02/2021;53672010;1578807;0;19
TO;01/02/2021;3010928;40698;0;13
AC;01/03/2021;1972691;35276;0;19
AL;01/03/2021;4421853;100862;0;11
AM;01/03/2021;10337878;359011;0;20
AP;01/03/2021;2785247;37362;0;29
BA;01/03/2021;23196823;420299;0;14
CE;01/03/2021;14883078;387117;0;18
DF;01/03/2021;9955777;163639;0;23
ES;01/03/2021;10887398;212249;0;35
GO;01/03/2021;13641862;306183;0;13
MA;01/03/2021;7145352;172172;0;18
MG;01/03/2021;30778816;654019;0;26
MS;01/03/2021;6116325;115202;0;16
MT;01/03/2021;8590654;200712;0;19
PA;01/03/2021;12058489;294043;0;22
PB;01/03/2021;7452621;156757;0;24
PE;01/03/2021;10009259;356865;0;21
PI;01/03/2021;5832158;114328;0;19
PR;01/03/2021;23675370;436585;0;23
RJ;01/03/2021;19002098;1074187;0;24
RN;01/03/2021;5625240;124325;0;21
RO;01/03/2021;5231536;108007;0;36
RR;01/03/2021;2667914;38397;0;20
RS;01/03/2021;23316098;488452;0;18
SC;01/03/2021;23037347;280132;0;57
SE;01/03/2021;5021699;98951;0;22
SP;01/03/2021;69462995;2037548;0;21
TO;01/03/2021;3953086;53835;0;14
AC;01/04/2021;2232100;41847;0;21
AL;01/04/2021;4923043;117128;0;12
AM;01/04/2021;10836760;370059;0;20
AP;01/04/2021;3067129;43033;0;29
BA;01/04/2021;25602252;509900;0;14
CE;01/04/2021;18190250;476086;0;19
DF;01/04/2021;10897816;210876;0;24
ES;01/04/2021;12337573;255494;0;34
GO;01/04/2021;15544936;400642;0;14
MA;01/04/2021;7624658;201893;0;20
MG;01/04/2021;37569503;876476;0;26
MS;01/04/2021;7010645;151644;0;19
MT;01/04/2021;10071297;261922;0;21
PA;01/04/2021;13365354;349776;0;26
PB;01/04/2021;8302876;190064;0;26
PE;01/04/2021;11337162;392267;0;23
PI;01/04/2021;6712009;139278;0;22
PR;01/04/2021;26951409;593629;0;26
RJ;01/04/2021;20837376;1217266;0;26
RN;01/04/2021;6302341;150604;0;23
RO;01/04/2021;6041963;141368;0;35
RR;01/04/2021;2788417;42720;0;21
RS;01/04/2021;27316742;679845;0;22
SC;01/04/2021;25460199;370610;0;58
SE;01/04/2021;5650462;116743;0;24
SP;01/04/2021;81062296;2581843;0;23
TO;01/04/2021;4528547;69401;0;15
AC;01/05/2021;1834364;36712;0;25
AL;01/05/2021;4177509;101806;0;15
AM;01/05/2021;8668948;293990;0;21
AP;01/05/2021;2490069;36838;0;32
BA;01/05/2021;21663775;448851;0;15
CE;01/05/2021;16650517;431522;0;20
DF;01/05/2021;8950933;188332;0;24
ES;01/05/2021;10430473;230904;0;34
GO;01/05/2021;13187594;363975;0;15
MA;01/05/2021;6344348;175059;0;21
MG;01/05/2021;33037620;839285;0;26
MS;01/05/2021;6002972;140363;0;21
MT;01/05/2021;8646194;232270;0;22
PA;01/05/2021;11279170;314876;0;28
PB;01/05/2021;7016882;163768;0;28
PE;01/05/2021;9957053;338651;0;25
PI;01/05/2021;5821107;124936;0;23
PR;01/05/2021;23056923;554723;0;27
RJ;01/05/2021;18316503;1083563;0;28
RN;01/05/2021;5522111;131813;0;23
RO;01/05/2021;5045324;124310;0;34
RR;01/05/2021;2277665;35790;0;21
RS;01/05/2021;23423610;604374;0;24
SC;01/05/2021;21125100;327263;0;59
SE;01/05/2021;4920045;105991;0;24
SP;01/05/2021;70008001;2352073;0;25
TO;01/05/2021;3826993;61637;0;16
